acao,CAGR LUCROS 5 ANOS,CAGR RECEITAS 5 ANOS,DIVIDEND YIELD (DY),DÍVIDA BRUTA / PATRIMÔNIO,DÍVIDA LÍQUIDA / EBIT,DÍVIDA LÍQUIDA / EBITDA,EV/EBIT,EV/EBITDA,GIRO ATIVOS,LIQUIDEZ CORRENTE,LPA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,MARGEM LÍQUIDA,P/ATIVO,P/ATIVO CIRC LIQ,P/CAP.GIRO,P/EBIT,P/EBITDA,P/L,P/RECEITA (PSR),P/VP,PASSIVOS / ATIVOS,PATRIMÔNIO / ATIVOS,PAYOUT,ROA,ROE,ROIC,VPA,ROIC_Atual,ROIC_2023
aalr3,-10.3475,0.935,0.315,0.7250000000000001,-19.067500000000003,5.084999999999999,-66.1725,20.252499999999998,0.42,0.8375,-0.6125,26.42,4.279999999999999,14.3225,-7.0375000000000005,0.7725000000000001,-0.9524999999999999,-6.24,-47.1075,15.169999999999998,-71.81000000000002,1.8325,1.745,0.555,0.45499999999999996,3.4,-2.455,-7.3575,1.8525,9.7175,1.01,1.01
abcb4,6.875,16.884999999999998,5.335,0.0,0.0,0.0,-4.687499999999999,0.5074999999999998,0.0975,2.6224999999999996,2.3449999999999998,19.2425,15.495,2.6275,13.287500000000001,0.095,-0.16749999999999998,-0.99,-4.687499999999999,0.5074999999999998,8.219999999999999,1.0350000000000001,0.9349999999999999,0.8025,0.0975,73.14,1.1925000000000001,12.049999999999999,9.305,19.207500000000003,14.66,14.66
abev3,2.9425,7.942500000000001,3.7325,0.05,-0.7425,-0.5449999999999999,14.525,10.477500000000001,0.525,1.02,0.7975,53.1925,25.8125,35.9,19.355,2.0675,-2.855,-213.585,15.267499999999998,11.024999999999999,20.4075,4.0024999999999995,3.4675000000000002,0.395,0.595,72.63,10.4025,16.9025,20.167499999999997,4.7575,22.52,22.52
aeri3,0.0,0.0,0.4575,1.7125,2.8175,2.43,30.725,26.9225,0.8575,1.9275,0.0375,13.09,10.6325,12.16,3.7,2.1525,-6.82,6.375,27.9075,24.492500000000003,57.1375,2.4825,5.93,0.7050000000000001,0.295,-6.935,3.9049999999999994,14.774999999999999,11.665,0.6075,8.8,8.8
aesb3,0.0,0.0,0.8,1.1025,8.0025,3.4450000000000003,16.255,6.4625,0.09,0.9725,0.2575,13.6775,8.82,19.7475,5.987500000000001,0.21750000000000003,-0.27749999999999997,3.66,8.2525,3.0175,13.260000000000002,1.1724999999999999,0.8474999999999999,0.3425,0.125,18.2025,1.5125000000000002,4.495,0.1825000000000001,3.1624999999999996,6.04,6.04
aflt3,22.810000000000002,15.895,4.7325,0.003314,-1.0825,-1.085,19.2,19.2275,0.255,6.915,0.37249999999999994,70.41499999999999,64.2425,64.0925,45.04749999999999,2.5075,-3.445,11.607500000000002,20.28,20.310000000000002,30.0,12.044999999999998,2.77,0.30500000000000005,0.9025,172.1025,17.1825,10.3375,18.25,3.6049999999999995,10.62,10.62
agro3,0.08249999999999957,29.087500000000002,8.5925,0.4575,2.1075,1.3275,14.9875,9.405000000000001,0.38,2.185,3.0149999999999997,31.7575,24.580000000000002,39.8075,29.7825,1.0675,-1.6975,6.42,12.875,8.075,12.48,2.7925,1.7674999999999998,0.385,0.615,127.08000000000001,7.9399999999999995,18.1675,9.362499999999999,15.9875,7.39,7.39
agxy3,0.0,0.0,0.425,1.0725,2.325,1.855,4.5249999999999995,3.96,1.02,1.0875,0.21,12.120000000000001,2.9450000000000003,3.38,0.8075000000000001,0.11000000000000001,-0.5800000000000001,1.2525,2.2,2.105,18.915,0.10750000000000001,0.595,0.8,0.1975,25.6475,1.1675,4.4925,4.495,6.17,0.96,0.96
aheb3,0.0,2.8275,0.0,-0.215,1.205,2.5250000000000004,-5.3,-9.8675,0.65,0.78,-0.7275,32.4975,-10.817499999999999,-4.69,-10.0425,0.76,-1.025,-13.235,-6.5,-12.38,-5.6625,1.3575000000000002,7.894999999999999,1.145,-0.035,0.0,-7.087499999999999,-497.67,-2589.5975000000003,-1.335,114.56,114.56
aheb5,0.0,2.8275,0.0,-0.215,1.205,2.5250000000000004,-5.3,-9.8675,0.65,0.78,-0.7275,32.4975,-10.817499999999999,-4.69,-10.0425,0.725,-0.975,-10.365,-6.2075000000000005,-12.135,-5.045,1.2675,7.609999999999999,1.145,-0.035,0.0,-7.087499999999999,-497.67,-2589.5975000000003,-1.335,114.56,114.56
aheb6,0.0,2.8275,0.0,-0.215,1.205,2.5250000000000004,-5.3,-9.8675,0.65,0.78,-0.7275,32.4975,-10.817499999999999,-4.69,-10.0425,1.0924999999999998,-1.4575,-25.1325,-8.264999999999999,-14.447500000000002,-8.832500000000001,2.0650000000000004,7.4325,1.145,-0.035,0.0,-7.087499999999999,-497.67,-2589.5975000000003,-1.335,114.56,114.56
alld3,0.0,0.0,4.9925,0.2675,1.24,0.98,2.8875,2.3075,0.9824999999999999,1.1,1.42,11.195,4.2175,5.19,2.5125,0.125,-0.46,0.5725,1.6475,1.33,3.21,0.0975,0.355,0.49,0.26,23.695,3.2325000000000004,9.745,11.09,11.0775,9.02,9.02
alos3,1.290000000000001,21.409999999999997,1.055,0.0,-2.8549999999999995,-2.155,47.112500000000004,35.254999999999995,0.07750000000000001,2.6300000000000003,0.27,83.79,56.16499999999999,70.8825,16.8775,1.5225,-1.8325,2.5075000000000003,49.972500000000004,37.415,378.2875,20.442500000000003,2.5275,0.385,0.61,343.5725,3.0225,2.2425,6.8725000000000005,12.0275,28.56,28.56
alpa3,-5.592499999999999,-0.5411115000000001,0.35250000000000004,0.11,0.012499999999999956,-0.10999999999999999,57.9025,53.3025,0.625,2.5725,0.45,49.57,10.05,11.305,7.9799999999999995,3.295,-7.039999999999999,2.834999999999999,53.352500000000006,49.35000000000001,87.9975,5.027500000000001,5.902500000000001,0.3725,0.5725,34.7525,4.57,9.385,8.6975,5.3975,-42.33,-42.33
alpa4,-5.592499999999999,-0.5411115000000001,0.3275,0.11,0.012499999999999956,-0.10999999999999999,57.9025,53.3025,0.625,2.5725,0.45,49.57,10.05,11.305,7.9799999999999995,3.8324999999999996,-8.184999999999999,3.0475000000000003,62.379999999999995,57.425000000000004,102.2125,5.875,6.8875,0.3725,0.5725,34.7525,4.57,9.385,8.6975,5.3975,-42.33,-42.33
alpk3,0.0,0.0,0.0,1.985,38.215,4.744999999999999,93.58,8.8975,0.2475,0.2375,-0.6475,19.662499999999998,1.0474999999999999,18.932499999999997,-16.9,0.3025,-0.3325,-1.4749999999999999,55.3625,4.1499999999999995,-4.4025,1.1024999999999998,1.3275000000000001,0.59,0.1575,0.0,-5.295,-26.08,0.6174999999999999,1.92,9.35,9.35
also3,1.290000000000001,21.409999999999997,1.055,0.0,-2.8549999999999995,-2.155,47.112500000000004,35.254999999999995,0.07750000000000001,2.6300000000000003,0.27,83.79,56.16499999999999,70.8825,16.8775,1.5225,-1.8325,2.5075000000000003,49.972500000000004,37.415,378.2875,20.442500000000003,2.5275,0.385,0.61,343.5725,3.0225,2.2425,6.8725000000000005,12.0275,29.06,0.0
alup3,22.505000000000003,26.43,2.9725,1.625,2.3225000000000002,2.0625,4.93,4.3875,0.2125,2.0725,1.1425,66.235,63.567499999999995,73.435,20.0,0.34500000000000003,-0.44,3.3225,2.675,2.3925,8.33,1.6600000000000001,1.3475000000000001,0.6799999999999999,0.2525,23.4575,7.945,16.1025,15.865,7.175,10.57,10.57
alup4,22.505000000000003,26.43,3.0300000000000002,1.625,2.3225000000000002,2.0625,4.93,4.3875,0.2125,2.0725,1.1425,66.235,63.567499999999995,73.435,20.0,0.315,-0.4,3.17,2.4524999999999997,2.175,7.7299999999999995,1.5499999999999998,1.235,0.6799999999999999,0.2525,23.4575,7.945,16.1025,15.865,7.175,10.57,10.57
