"Ticker","Nome","Negócios","Última (R$)","Variação"
"MGLU3","Magazine Luiza","121.632.600","1,54","+2,67%"
"PETZ3","Petz","104.106.200","4,80","+37,14%"
"PETR4","Petrobras","80.485.500","40,53","+1,71%"
"HAPV3","Hapvida","75.344.000","3,60","+2,86%"
"CPLE6","Copel","60.977.400","9,31","+0,76%"
"BBDC4","Banco Bradesco","49.722.700","13,64","-0,94%"
"COGN3","Cogna","46.131.700","1,97","+1,55%"
"B3SA3","B3","39.338.300","11,18","+0,36%"
"CVCB3","CVC","35.016.000","1,92","+6,67%"
"VALE3","Vale","32.678.100","63,36","+1,64%"
"EQTL3","Equatorial Energia","31.246.900","31,15","+0,29%"
"PCAR3","Grupo Pão de Açúcar","29.525.900","2,47","+4,66%"
"ITUB4","Itaú Unibanco","26.914.400","31,55","-0,57%"
"ABEV3","Ambev","25.809.500","11,95","-0,08%"
"SEQL3","Sequoia Logística","24.431.000","0,45","+7,14%"
"CMIG4","CEMIG","23.739.100","13,11","+0,38%"
"USIM5","Usiminas","22.935.600","10,33","+3,92%"
"RAIZ4","Raízen","21.783.500","3,02","+3,07%"
"AZUL4","Azul","20.029.800","9,94","-1,29%"
"OIBR3","Oi","19.028.500","0,70","-1,41%"
"PETR3","Petrobras","18.507.600","42,72","+4,07%"
"AMER3","Americanas","18.438.300","0,52","+0,00%"
"BBAS3","Banco do Brasil","18.308.900","27,71","-0,79%"
"LREN3","Lojas Renner","16.429.600","15,65","+1,56%"
"GGBR4","Gerdau","15.970.900","19,22","+2,40%"
"CIEL3","Cielo","15.519.200","5,54","+1,28%"
"MRVE3","MRV","14.892.900","6,57","+2,34%"
"ITSA4","Itaúsa","14.632.500","9,53","-0,10%"
"RADL3","RaiaDrogasil","13.722.900","25,45","+2,21%"
"SOMA3","Grupo Soma","13.638.200","6,09","+1,67%"
"RENT3","Localiza","12.900.900","50,27","-1,26%"
"GOLL4","GOL","12.860.100","1,37","-2,84%"
"ASAI3","Assaí","12.837.800","13,38","+1,52%"
"CYRE3","Cyrela","12.289.000","20,89","+1,61%"
"IFCM3","Infracommerce","12.024.400","0,70","-1,41%"
"EGIE3","Engie","11.944.400","39,90","-1,21%"
"GOAU4","Metalúrgica Gerdau","11.116.200","10,98","+3,00%"
"QUAL3","Qualicorp","11.033.200","1,47","+8,89%"
"RAIL3","Rumo","10.744.700","21,25","+0,71%"
"NEOE3","Neoenergia","10.697.800","19,57","-1,26%"
"CSNA3","Siderúrgica Nacional","10.469.900","14,68","+3,31%"
"CMIN3","CSN Mineração","10.258.100","5,30","+0,95%"
"PRIO3","PetroRio","10.134.000","48,80","-0,89%"
"MRFG3","Marfrig","9.602.800","9,80","+0,82%"
"CPLE3","Copel","9.581.000","8,48","+2,29%"
"BEEF3","Minerva","9.186.300","6,08","-0,33%"
"NTCO3","Natura","8.915.900","16,09","+0,00%"
"RDOR3","Rede D'Or","8.873.400","24,45","+4,85%"
"VAMO3","Grupo Vamos","8.752.600","7,39","-0,54%"
"STBP3","Santos Brasil","8.639.800","13,15","+2,18%"
"BRFS3","BRF","8.580.200","17,05","+0,00%"
"CSAN3","Cosan","8.292.100","14,42","+0,35%"
"ALPA4","Alpargatas","8.245.500","9,00","+5,88%"
"WEGE3","WEG","8.186.700","38,55","-0,13%"
"ECOR3","EcoRodovias","8.024.800","7,49","-0,13%"
"TOTS3","Totvs","7.691.000","28,10","+1,22%"
"TIMS3","TIM","7.572.900","17,29","+0,88%"
"BHIA3","Casas Bahia","7.234.300","6,22","+0,32%"
"JBSS3","JBS","7.130.100","22,12","-1,38%"
"BRAP4","Bradespar","7.025.200","21,19","+2,76%"
"ELET3","Eletrobras","6.955.800","37,80","-0,32%"
"EMBR3","Embraer","6.942.600","30,92","-2,86%"
"SBSP3","Sabesp","6.800.300","84,49","+2,08%"
"CCRO3","Grupo CCR","6.717.900","12,65","-0,78%"
"ENEV3","Eneva","6.694.700","12,27","+0,41%"
"CEAB3","C&A","6.609.900","10,72","+7,20%"
"SIMH3","Simpar","6.598.600","6,27","+0,16%"
"AURE3","Auren Energia","6.568.000","11,81","+0,17%"
"POMO4","Marcopolo","6.548.900","7,13","-1,25%"
"RRRP3","3R Petroleum","6.479.100","32,90","-0,03%"
"HBSA3","Hidrovias do Brasil","6.343.100","4,14","+0,98%"
"ANIM3","Ânima Educação","6.152.000","3,39","+1,80%"
"VBBR3","Vibra Energia","6.070.700","23,30","-3,48%"
"MULT3","Multiplan","5.954.300","24,08","+0,80%"
"SUZB3","Suzano","5.928.400","61,21","+0,76%"
