Atual,2023,2022,2021,2020,2019,acao
"-76,10","-106,74","-40,58","90,33","470,70","95,36",mglu3
"0,31","0,43","0,54","1,51","6,32","4,43",mglu3
"1,18","1,66","1,90","4,74","25,17","11,65",mglu3
-,"0,00%","0,00%","0,21%","0,20%","0,33%",mglu3
-,"0,00%","-22,95%","32,91%","96,01%","24,06%",mglu3
"-0,41%","-0,41%","-1,34%","1,67%","1,34%","4,65%",mglu3
"29,24%","29,24%","27,99%","24,06%","25,77%","27,94%",mglu3
"2,41%","2,41%","2,07%","1,33%","2,83%","6,48%",mglu3
"5,79%","5,79%","5,19%","3,65%","5,23%","8,97%",mglu3
"7,22","9,38","12,73","43,51","119,94","47,21",mglu3
"17,36","22,54","31,92","119,05","222,13","65,36",mglu3
"5,35","7,50","10,46","41,44","120,74","49,40",mglu3
"12,86","18,04","26,24","113,38","223,60","68,39",mglu3
"0,30","0,43","0,54","1,39","7,48","4,45",mglu3
"4,05","5,67","2,85","5,77","54,51","18,21",mglu3
"-0,66","-0,93","-1,28","-3,85","-23,49","-12,68",mglu3
"1,30","1,30","1,44","1,52","0,99","4,09",mglu3
"-0,02","-0,02","-0,07","0,08","0,05","0,50",mglu3
"0,98","0,98","0,99","0,92","1,18","1,00",mglu3
"-1,56%","-1,56%","-4,69%","5,25%","5,35%","12,22%",mglu3
"1,34%","1,34%","0,006870%","-1,87%","8,90%","11,79%",mglu3
"-0,40%","-0,40%","-1,32%","1,54%","1,59%","4,67%",mglu3
"1,87","1,87","2,27","2,07","-0,80","-2,19",mglu3
"4,50","4,50","5,68","5,67","-1,48","-3,03",mglu3
"0,77","0,77","0,67","0,60","0,23","0,11",mglu3
"0,26","0,26","0,28","0,29","0,30","0,38",mglu3
"0,74","0,74","0,72","0,71","0,70","0,62",mglu3
"1,16","1,16","1,48","1,61","1,25","1,60",mglu3
"13,08%","18,72%","25,49%","29,98%","26,58%","15,25%",mglu3
-,-%,-%,"46,83%",-%,"48,36%",mglu3
"135,80","111,75","57,22","100,89","151,30","0,00",petz3
"0,70","0,58","1,02","3,61","6,15","0,00",petz3
"1,23","1,01","1,57","4,30","17,16","0,00",petz3
"0,35%","0,43%","0,63%","0,12%","0,17%","0,00%",petz3
"60,48%","60,48%","37,77%","24,48%","0,00%","0,00%",petz3
"0,52%","0,52%","1,79%","3,58%","4,06%","1,80%",petz3
"46,70%","46,70%","47,65%","48,29%","48,27%","50,36%",petz3
"4,04%","4,04%","4,79%","7,73%","8,64%","9,11%",petz3
"11,67%","11,67%","9,28%","11,82%","15,68%","0,00%",petz3
"6,02","4,96","10,73","28,74","39,25",-,petz3
"17,40","14,33","20,81","43,92","71,26","7,94",petz3
"6,00","4,94","11,01","30,54","39,21",-,petz3
"17,33","14,26","21,34","46,68","71,19","0,00",petz3
"0,56","0,46","0,79","2,20","4,67","0,00",petz3
"3,59","2,95","8,23","11,42","38,08","0,00",petz3
"-0,85","-0,70","-1,13","-3,63","-8,78","0,00",petz3
"3,91","3,91","3,98","3,80","1,11","0,38",petz3
"0,04","0,04","0,11","0,16","0,13","0,04",petz3
"0,79","0,79","0,78","0,61","0,76","0,76",petz3
"0,90%","0,90%","2,75%","4,27%","11,34%","9,70%",petz3
"5,26%","5,26%","5,72%","7,17%","11,13%","7,13%",petz3
"0,41%","0,41%","1,39%","2,18%","3,08%","1,37%",petz3
"0,02","0,02","-0,27","-1,81","0,04",-,petz3
"0,06","0,06","-0,53","-2,76","0,07","7,94",petz3
"0,24","0,24","0,06","0,13","0,96","4,85",petz3
"0,45","0,45","0,50","0,51","0,27","0,14",petz3
"0,55","0,55","0,50","0,49","0,73","0,86",petz3
"1,81","1,81","1,48","1,95","1,35","1,16",petz3
"27,39%",-%,-%,-%,-%,-%,petz3
"-0,86%",-%,-%,-%,-%,-%,petz3
