,Atual,2023,2022,2021,2020,2019,acao
P/L,"-76,10","-106,74","-40,58","90,33","470,70","95,36",mglu3
P/RECEITA (PSR),"0,31","0,43","0,54","1,51","6,32","4,43",mglu3
P/VP,"1,18","1,66","1,90","4,74","25,17","11,65",mglu3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,21%","0,20%","0,33%",mglu3
PAYOUT,-,"0,00%","-22,95%","32,91%","96,01%","24,06%",mglu3
MARGEM LÍQUIDA,"-0,41%","-0,41%","-1,34%","1,67%","1,34%","4,65%",mglu3
MARGEM BRUTA,"29,24%","29,24%","27,99%","24,06%","25,77%","27,94%",mglu3
MARGEM EBIT,"2,41%","2,41%","2,07%","1,33%","2,83%","6,48%",mglu3
MARGEM EBITDA,"5,79%","5,79%","5,19%","3,65%","5,23%","8,97%",mglu3
EV/EBITDA,"7,22","9,38","12,73","43,51","119,94","47,21",mglu3
EV/EBIT,"17,36","22,54","31,92","119,05","222,13","65,36",mglu3
P/EBITDA,"5,35","7,50","10,46","41,44","120,74","49,40",mglu3
P/EBIT,"12,86","18,04","26,24","113,38","223,60","68,39",mglu3
P/ATIVO,"0,30","0,43","0,54","1,39","7,48","4,45",mglu3
P/CAP.GIRO,"4,05","5,67","2,85","5,77","54,51","18,21",mglu3
P/ATIVO CIRC LIQ,"-0,66","-0,93","-1,28","-3,85","-23,49","-12,68",mglu3
VPA,"1,30","1,30","1,44","1,52","0,99","4,09",mglu3
LPA,"-0,02","-0,02","-0,07","0,08","0,05","0,50",mglu3
GIRO ATIVOS,"0,98","0,98","0,99","0,92","1,18","1,00",mglu3
ROE,"-1,56%","-1,56%","-4,69%","5,25%","5,35%","12,22%",mglu3
ROIC,"1,34%","1,34%","0,006870%","-1,87%","8,90%","11,79%",mglu3
ROA,"-0,40%","-0,40%","-1,32%","1,54%","1,59%","4,67%",mglu3
DÍVIDA LÍQUIDA / EBITDA,"1,87","1,87","2,27","2,07","-0,80","-2,19",mglu3
DÍVIDA LÍQUIDA / EBIT,"4,50","4,50","5,68","5,67","-1,48","-3,03",mglu3
DÍVIDA BRUTA / PATRIMÔNIO,"0,77","0,77","0,67","0,60","0,23","0,11",mglu3
PATRIMÔNIO / ATIVOS,"0,26","0,26","0,28","0,29","0,30","0,38",mglu3
PASSIVOS / ATIVOS,"0,74","0,74","0,72","0,71","0,70","0,62",mglu3
LIQUIDEZ CORRENTE,"1,16","1,16","1,48","1,61","1,25","1,60",mglu3
CAGR RECEITAS 5 ANOS,"13,08%","18,72%","25,49%","29,98%","26,58%","15,25%",mglu3
CAGR LUCROS 5 ANOS,-,-%,-%,"46,83%",-%,"48,36%",mglu3
P/L,"135,80","111,75","57,22","100,89","151,30","0,00",petz3
P/RECEITA (PSR),"0,70","0,58","1,02","3,61","6,15","0,00",petz3
P/VP,"1,23","1,01","1,57","4,30","17,16","0,00",petz3
